201592337 Dukey 2.4 3.0 3.2
201514055 Elke 5.6 10 4.7
201586282 Delcina 6.8 7.8 2.1
201595619 Tabbitha 6.1 1.6 5.1
201574819 Shanta 2.6 2.7 6.1
201500011 Alica 5.3 8.6 3.7
201597137 Marcelline 7.9 5.0 0.2
201587017 Gran 3.2 6.7 7.0
201585833 Wake 7.9 4.1 6.2
201520041 Sean 5.0 3.1 6.4
201518563 Bentlee 7.4 7.3 8.6
201572293 Morgun 7.5 4.5 1.3
201513241 Andrus 1.3 3.7 6.6
201532626 Sam 1.6 8.0 9.9
201578670 Talyah 4.2 10 7.1
201501590 Gerrilee 5.5 3.8 3.2
201517370 Archibaldo 5.1 7.0 8.2
201569670 Donielle 2.6 6.5 3.4
201512671 Cicily 4.9 3.0 9.6
201564289 Silvester 1.6 0 3.5
201576752 Kevon 6.0 10 3.6
201586046 Dawn 5.0 5.7 5.5
201577064 Nydia 5.7 2.3 6.3
201505954 Leeann 8.5 4.5 5.9
201552824 Austine 6.2 5.5 5.5
201514709 Theresa 5.1 6.7 4.6
201542136 Anthiathia 0 3.8 5.3
201534529 Heindrick 3.5 5.2 4.5
201552008 Rosanna 4.9 10 6.5
201534011 Sylvan 0.2 9.5 0.4
201548170 Benjamen 4.7 6.7 2.3
201503773 Gerri 10 9.8 5.7
201544298 Aindrea 6.6 0.9 5.5
201587161 Fields 4.3 6.7 5.5
201575616 Rycca 6.9 7.2 6.8
201504990 Ambrose 2.7 4.8 7.9
201500765 Godwin 0.8 1.3 2.0
201518077 Nevil 5.5 0.3 9.0
201558817 Adelaida 0 1.3 6.1
201589273 Kiri 1.0 8.7 0
201562146 Marlyn 0.0 4.7 6.8
201505667 Manny 0.5 1.2 3.4
201558401 Bonni 4.4 10 1.2
201503818 Win 3.3 0 7.8
201568689 Burt 0.5 7.3 9.4
201544800 Vernon 5.6 2.5 4.7
201560168 Ashleigh 4.0 4.4 5.5
201533483 Liane 1.0 4.0 8.6
201542857 Eugenie 10 1.6 8.1
201506397 Chariot 7.7 8.5 6.5
201567393 Joyous 8.5 4.2 4.1
201559017 Joli 6.9 7.1 5.4
201588367 Shana 5.8 2.2 8.1
201586181 Janine 3.2 0.1 5.1
201599362 Madelaine 5.6 3.5 5.4
201596709 Charita 4.2 2.9 3.4
201542800 Corbin 3.3 5.9 9.5
201524418 Mata 4.7 3.5 3.6
201575327 Marie-jeanne 1.8 6.5 2.2
201517841 Raine 2.8 2.2 4.8
201594386 Bran 7.3 8.7 5.8
201548539 Dory 6.0 7.2 5.9
201582338 Madel 4.1 4.3 2.2
201588588 Vernor 5.5 5.2 8.1
201552309 Pammie 9.0 5.2 5.7
201504585 Anne 7.5 4.2 0
201562544 Benoit 4.7 6.1 5.1
201552629 Stanwood 5.0 10 5.8
201541825 Hardy 10 6.9 3.1
201565937 Thomasa 0.2 2.8 5.3
201530741 Charlene 10 4.4 7.8
201504803 Dorita 3.9 6.2 7.5
201535433 Demetrius 2.9 4.3 1.6
201562486 Jameson'Mullaney 6.1 6.5 2.4
201514808 Kenn 4.1 3.4 4.5
201598932 Katha 7.5 5.9 6.3
201516606 Kilian 6.2 2.3 0
201571067 Allx 10 2.7 6.2
201525768 Clea 0.1 6.8 8.7
201516628 Lilias 5.3 6.8 8.7
201551047 Massimo 7.2 1.5 4.6
201536818 Lanie'Hegertie 4.0 2.0 5.8
201580103 Hakeem 10 3.3 6.0
201535420 Kristel 0 7.9 3.5
